user_id,window_start,window_end,click_count
A,2025-01-01T01:04:00.000-08:00,2025-01-01T01:05:00.000-08:00,67048
B,2025-01-01T01:01:00.000-08:00,2025-01-01T01:02:00.000-08:00,67031
B,2025-01-01T01:03:00.000-08:00,2025-01-01T01:04:00.000-08:00,66984
A,2025-01-01T01:01:00.000-08:00,2025-01-01T01:02:00.000-08:00,66665
A,2025-01-01T01:03:00.000-08:00,2025-01-01T01:04:00.000-08:00,66451
A,2025-01-01T01:02:00.000-08:00,2025-01-01T01:03:00.000-08:00,66450
B,2025-01-01T01:02:00.000-08:00,2025-01-01T01:03:00.000-08:00,66447
B,2025-01-01T01:04:00.000-08:00,2025-01-01T01:05:00.000-08:00,66246
B,2025-01-01T01:00:00.000-08:00,2025-01-01T01:01:00.000-08:00,65931
A,2025-01-01T01:00:00.000-08:00,2025-01-01T01:01:00.000-08:00,65006
A,2025-01-01T01:05:00.000-08:00,2025-01-01T01:06:00.000-08:00,1140
B,2025-01-01T01:05:00.000-08:00,2025-01-01T01:06:00.000-08:00,1107
U8869,2025-01-01T01:03:00.000-08:00,2025-01-01T01:04:00.000-08:00,20
U577,2025-01-01T01:03:00.000-08:00,2025-01-01T01:04:00.000-08:00,18
U1936,2025-01-01T01:02:00.000-08:00,2025-01-01T01:03:00.000-08:00,18
U2211,2025-01-01T01:03:00.000-08:00,2025-01-01T01:04:00.000-08:00,18
U2595,2025-01-01T01:01:00.000-08:00,2025-01-01T01:02:00.000-08:00,18
U2524,2025-01-01T01:04:00.000-08:00,2025-01-01T01:05:00.000-08:00,18
U6694,2025-01-01T01:00:00.000-08:00,2025-01-01T01:01:00.000-08:00,17
U1027,2025-01-01T01:01:00.000-08:00,2025-01-01T01:02:00.000-08:00,17
U6953,2025-01-01T01:02:00.000-08:00,2025-01-01T01:03:00.000-08:00,17
U2701,2025-01-01T01:04:00.000-08:00,2025-01-01T01:05:00.000-08:00,17
U8314,2025-01-01T01:02:00.000-08:00,2025-01-01T01:03:00.000-08:00,17
U5699,2025-01-01T01:03:00.000-08:00,2025-01-01T01:04:00.000-08:00,17
U5189,2025-01-01T01:04:00.000-08:00,2025-01-01T01:05:00.000-08:00,17
U5008,2025-01-01T01:03:00.000-08:00,2025-01-01T01:04:00.000-08:00,17
U9491,2025-01-01T01:03:00.000-08:00,2025-01-01T01:04:00.000-08:00,17
U7381,2025-01-01T01:02:00.000-08:00,2025-01-01T01:03:00.000-08:00,17
U4526,2025-01-01T01:02:00.000-08:00,2025-01-01T01:03:00.000-08:00,17
U6187,2025-01-01T01:01:00.000-08:00,2025-01-01T01:02:00.000-08:00,17
U638,2025-01-01T01:04:00.000-08:00,2025-01-01T01:05:00.000-08:00,17
U9050,2025-01-01T01:00:00.000-08:00,2025-01-01T01:01:00.000-08:00,17
U9737,2025-01-01T01:04:00.000-08:00,2025-01-01T01:05:00.000-08:00,17
U3635,2025-01-01T01:04:00.000-08:00,2025-01-01T01:05:00.000-08:00,17
U5897,2025-01-01T01:04:00.000-08:00,2025-01-01T01:05:00.000-08:00,17
U2531,2025-01-01T01:03:00.000-08:00,2025-01-01T01:04:00.000-08:00,17
U8805,2025-01-01T01:00:00.000-08:00,2025-01-01T01:01:00.000-08:00,17
U2532,2025-01-01T01:03:00.000-08:00,2025-01-01T01:04:00.000-08:00,17
U5668,2025-01-01T01:02:00.000-08:00,2025-01-01T01:03:00.000-08:00,17
U9589,2025-01-01T01:02:00.000-08:00,2025-01-01T01:03:00.000-08:00,17
U5883,2025-01-01T01:01:00.000-08:00,2025-01-01T01:02:00.000-08:00,17
U1285,2025-01-01T01:02:00.000-08:00,2025-01-01T01:03:00.000-08:00,16
U5764,2025-01-01T01:04:00.000-08:00,2025-01-01T01:05:00.000-08:00,16
U316,2025-01-01T01:01:00.000-08:00,2025-01-01T01:02:00.000-08:00,16
U5772,2025-01-01T01:00:00.000-08:00,2025-01-01T01:01:00.000-08:00,16
U4219,2025-01-01T01:01:00.000-08:00,2025-01-01T01:02:00.000-08:00,16
U2072,2025-01-01T01:02:00.000-08:00,2025-01-01T01:03:00.000-08:00,16
U842,2025-01-01T01:03:00.000-08:00,2025-01-01T01:04:00.000-08:00,16
U1318,2025-01-01T01:00:00.000-08:00,2025-01-01T01:01:00.000-08:00,16
U8585,2025-01-01T01:04:00.000-08:00,2025-01-01T01:05:00.000-08:00,16
U2476,2025-01-01T01:00:00.000-08:00,2025-01-01T01:01:00.000-08:00,16
U778,2025-01-01T01:02:00.000-08:00,2025-01-01T01:03:00.000-08:00,16
U6707,2025-01-01T01:01:00.000-08:00,2025-01-01T01:02:00.000-08:00,16
U309,2025-01-01T01:03:00.000-08:00,2025-01-01T01:04:00.000-08:00,16
U6203,2025-01-01T01:02:00.000-08:00,2025-01-01T01:03:00.000-08:00,16
U8759,2025-01-01T01:00:00.000-08:00,2025-01-01T01:01:00.000-08:00,16
U9836,2025-01-01T01:00:00.000-08:00,2025-01-01T01:01:00.000-08:00,16
U9182,2025-01-01T01:02:00.000-08:00,2025-01-01T01:03:00.000-08:00,16
U2096,2025-01-01T01:04:00.000-08:00,2025-01-01T01:05:00.000-08:00,16
U4547,2025-01-01T01:04:00.000-08:00,2025-01-01T01:05:00.000-08:00,16
U3607,2025-01-01T01:00:00.000-08:00,2025-01-01T01:01:00.000-08:00,16
U7870,2025-01-01T01:00:00.000-08:00,2025-01-01T01:01:00.000-08:00,16
U5029,2025-01-01T01:00:00.000-08:00,2025-01-01T01:01:00.000-08:00,16
U642,2025-01-01T01:02:00.000-08:00,2025-01-01T01:03:00.000-08:00,16
U2771,2025-01-01T01:03:00.000-08:00,2025-01-01T01:04:00.000-08:00,16
U1628,2025-01-01T01:03:00.000-08:00,2025-01-01T01:04:00.000-08:00,16
U3036,2025-01-01T01:03:00.000-08:00,2025-01-01T01:04:00.000-08:00,16
U7986,2025-01-01T01:01:00.000-08:00,2025-01-01T01:02:00.000-08:00,16
U5311,2025-01-01T01:04:00.000-08:00,2025-01-01T01:05:00.000-08:00,16
U9863,2025-01-01T01:03:00.000-08:00,2025-01-01T01:04:00.000-08:00,16
U6108,2025-01-01T01:03:00.000-08:00,2025-01-01T01:04:00.000-08:00,16
U8220,2025-01-01T01:00:00.000-08:00,2025-01-01T01:01:00.000-08:00,16
U5398,2025-01-01T01:03:00.000-08:00,2025-01-01T01:04:00.000-08:00,16
U9172,2025-01-01T01:02:00.000-08:00,2025-01-01T01:03:00.000-08:00,16
U1660,2025-01-01T01:00:00.000-08:00,2025-01-01T01:01:00.000-08:00,16
U805,2025-01-01T01:02:00.000-08:00,2025-01-01T01:03:00.000-08:00,16
U6173,2025-01-01T01:00:00.000-08:00,2025-01-01T01:01:00.000-08:00,15
U6396,2025-01-01T01:02:00.000-08:00,2025-01-01T01:03:00.000-08:00,15
U4274,2025-01-01T01:02:00.000-08:00,2025-01-01T01:03:00.000-08:00,15
U9047,2025-01-01T01:04:00.000-08:00,2025-01-01T01:05:00.000-08:00,15
